Order_ID,Date,Time,Month,DayOfWeek,Weather,Category,Menu,Type,Price,Cost,Margin,Is_Set
20230101-0021,2023-01-01,13:58,1,Sun,Sunny,Tea,HerbTea,Hot,5000,470,4530,FALSE
20230101-0022,2023-01-01,21:20,1,Sun,Sunny,Coffee,Americano,Ice,3800,750,3050,FALSE
20230101-0023,2023-01-01,20:29,1,Sun,Sunny,Coffee,Americano,Ice,3800,750,3050,FALSE
20230101-0024,2023-01-01,18:16,1,Sun,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230101-0025,2023-01-01,15:14,1,Sun,Sunny,Baked,Financier,Hot,3000,800,2200,FALSE
20230101-0026,2023-01-01,17:05,1,Sun,Sunny,Coffee,Latte,Hot,4500,1200,3300,FALSE
20230101-0027,2023-01-01,12:50,1,Sun,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230101-0028,2023-01-01,19:29,1,Sun,Sunny,Coffee,Filter,Ice,5500,1950,3550,FALSE
20230101-0029,2023-01-01,10:43,1,Sun,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230101-0030,2023-01-01,14:49,1,Sun,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230101-0031,2023-01-01,17:00,1,Sun,Sunny,Baked,Scone,Hot,3800,900,2900,FALSE
20230101-0032,2023-01-01,14:32,1,Sun,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230101-0033,2023-01-01,20:19,1,Sun,Sunny,Beverage,Ade,Ice,6000,3000,3000,FALSE
20230101-0034,2023-01-01,18:38,1,Sun,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230101-0035,2023-01-01,18:58,1,Sun,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230101-0036,2023-01-01,15:56,1,Sun,Sunny,Baked,Scone,Hot,3800,900,2900,FALSE
20230101-0037,2023-01-01,13:03,1,Sun,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230101-0038,2023-01-01,21:31,1,Sun,Sunny,Beverage,Ade,Ice,6000,3000,3000,FALSE
20230101-0039,2023-01-01,18:49,1,Sun,Sunny,Coffee,Americano,Ice,3800,750,3050,FALSE
20230101-0040,2023-01-01,12:16,1,Sun,Sunny,Coffee,Americano,Ice,3800,750,3050,FALSE
20230101-0041,2023-01-01,18:48,1,Sun,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230101-0042,2023-01-01,20:41,1,Sun,Sunny,Coffee,Latte,Hot,4500,1200,3300,FALSE
20230101-0043,2023-01-01,13:14,1,Sun,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230101-0044,2023-01-01,19:14,1,Sun,Sunny,Coffee,Latte,Hot,4500,1200,3300,FALSE
20230101-0045,2023-01-01,11:57,1,Sun,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230101-0046,2023-01-01,14:42,1,Sun,Sunny,Coffee,Americano,Ice,3800,750,3050,FALSE
20230101-0047,2023-01-01,19:36,1,Sun,Sunny,Coffee,Latte,Ice,4500,1150,3350,FALSE
20230101-0048,2023-01-01,13:06,1,Sun,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230101-0049,2023-01-01,17:55,1,Sun,Sunny,Coffee,Americano,Ice,3800,750,3050,FALSE
20230101-0050,2023-01-01,11:03,1,Sun,Sunny,Coffee,Americano,Ice,3800,750,3050,FALSE
20230101-0051,2023-01-01,13:12,1,Sun,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230101-0052,2023-01-01,14:29,1,Sun,Sunny,Coffee,Filter,Hot,5500,1310,4190,FALSE
20230102-0053,2023-01-02,18:06,1,Mon,Sunny,Coffee,Filter,Ice,5500,1950,3550,FALSE
20230102-0054,2023-01-02,11:59,1,Mon,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230102-0055,2023-01-02,17:13,1,Mon,Sunny,Beverage,Ade,Ice,6000,3000,3000,FALSE
20230102-0056,2023-01-02,10:10,1,Mon,Sunny,Coffee,Filter,Hot,5500,1310,4190,FALSE
20230102-0057,2023-01-02,17:18,1,Mon,Sunny,Coffee,Filter,Ice,5500,1950,3550,FALSE
20230102-0058,2023-01-02,18:42,1,Mon,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230102-0059,2023-01-02,10:37,1,Mon,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230102-0060,2023-01-02,10:37,1,Mon,Sunny,Coffee,Filter,Hot,5500,1310,4190,FALSE
20230102-0061,2023-01-02,10:32,1,Mon,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230102-0062,2023-01-02,20:55,1,Mon,Sunny,Coffee,Americano,Ice,3800,750,3050,FALSE
20230102-0063,2023-01-02,13:37,1,Mon,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230102-0064,2023-01-02,19:36,1,Mon,Sunny,Coffee,Filter,Hot,5500,1310,4190,FALSE
20230102-0065,2023-01-02,21:20,1,Mon,Sunny,Coffee,Americano,Ice,3800,750,3050,FALSE
20230102-0066,2023-01-02,14:29,1,Mon,Sunny,Coffee,Latte,Hot,4500,1200,3300,FALSE
20230102-0067,2023-01-02,17:39,1,Mon,Sunny,Baked,Scone,Hot,3800,900,2900,FALSE
20230102-0068,2023-01-02,11:34,1,Mon,Sunny,Coffee,Americano,Ice,3800,750,3050,FALSE
20230102-0069,2023-01-02,11:56,1,Mon,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230102-0070,2023-01-02,18:45,1,Mon,Sunny,Coffee,Filter,Ice,5500,1950,3550,FALSE
20230102-0071,2023-01-02,18:00,1,Mon,Sunny,Coffee,Americano,Ice,3800,750,3050,FALSE
20230102-0072,2023-01-02,11:56,1,Mon,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230102-0073,2023-01-02,18:09,1,Mon,Sunny,Coffee,Americano,Ice,3800,750,3050,FALSE
20230102-0074,2023-01-02,13:43,1,Mon,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230102-0075,2023-01-02,10:05,1,Mon,Sunny,Coffee,Latte,Hot,4500,1200,3300,FALSE
20230102-0076,2023-01-02,15:49,1,Mon,Sunny,Coffee,Filter,Hot,5500,1310,4190,FALSE
20230102-0077,2023-01-02,17:35,1,Mon,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230102-0078,2023-01-02,21:57,1,Mon,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230102-0079,2023-01-02,18:09,1,Mon,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230102-0080,2023-01-02,10:57,1,Mon,Sunny,Coffee,Americano,Ice,3800,750,3050,FALSE
20230102-0081,2023-01-02,15:49,1,Mon,Sunny,Coffee,Latte,Ice,4500,1150,3350,FALSE
20230102-0082,2023-01-02,21:09,1,Mon,Sunny,Tea,HerbTea,Hot,5000,470,4530,FALSE
20230102-0083,2023-01-02,13:55,1,Mon,Sunny,Coffee,Latte,Hot,4500,1200,3300,FALSE
20230102-0084,2023-01-02,16:01,1,Mon,Sunny,Coffee,Filter,Ice,5500,1950,3550,FALSE
20230102-0085,2023-01-02,16:51,1,Mon,Sunny,Coffee,Latte,Hot,4500,1200,3300,FALSE
20230102-0086,2023-01-02,12:50,1,Mon,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230102-0087,2023-01-02,17:14,1,Mon,Sunny,Coffee,Filter,Hot,5500,1310,4190,FALSE
20230102-0088,2023-01-02,13:14,1,Mon,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230102-0089,2023-01-02,11:49,1,Mon,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230102-0090,2023-01-02,18:21,1,Mon,Sunny,Tea,HerbTea,Hot,5000,470,4530,FALSE
20230102-0091,2023-01-02,11:56,1,Mon,Sunny,Baked,Financier,Hot,3000,800,2200,FALSE
20230102-0092,2023-01-02,14:02,1,Mon,Sunny,Coffee,Americano,Ice,3800,750,3050,FALSE
20230102-0093,2023-01-02,15:27,1,Mon,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230102-0094,2023-01-02,19:12,1,Mon,Sunny,Coffee,Latte,Hot,4500,1200,3300,FALSE
20230102-0095,2023-01-02,18:43,1,Mon,Sunny,Coffee,Latte,Ice,4500,1150,3350,FALSE
20230102-0096,2023-01-02,15:27,1,Mon,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230102-0097,2023-01-02,15:42,1,Mon,Sunny,Beverage,Ade,Ice,6000,3000,3000,FALSE
20230102-0098,2023-01-02,21:57,1,Mon,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230102-0099,2023-01-02,16:44,1,Mon,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230102-0100,2023-01-02,16:43,1,Mon,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230102-0101,2023-01-02,16:35,1,Mon,Sunny,Beverage,Ade,Ice,6000,3000,3000,FALSE
20230103-0102,2023-01-03,13:27,1,Tue,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230103-0103,2023-01-03,17:28,1,Tue,Sunny,Coffee,Americano,Ice,3800,750,3050,FALSE
20230103-0104,2023-01-03,21:10,1,Tue,Sunny,Coffee,Americano,Ice,3800,750,3050,FALSE
20230103-0105,2023-01-03,19:21,1,Tue,Sunny,Coffee,Filter,Hot,5500,1310,4190,FALSE
20230103-0106,2023-01-03,14:14,1,Tue,Sunny,Beverage,Ade,Ice,6000,3000,3000,FALSE
20230103-0107,2023-01-03,12:01,1,Tue,Sunny,Coffee,Filter,Ice,5500,1950,3550,FALSE
20230103-0108,2023-01-03,11:29,1,Tue,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230103-0109,2023-01-03,21:24,1,Tue,Sunny,Coffee,Americano,Ice,3800,750,3050,FALSE
20230103-0110,2023-01-03,10:57,1,Tue,Sunny,Coffee,Latte,Hot,4500,1200,3300,FALSE
20230103-0111,2023-01-03,16:14,1,Tue,Sunny,Coffee,Filter,Hot,5500,1310,4190,FALSE
20230103-0112,2023-01-03,10:35,1,Tue,Sunny,Coffee,Latte,Hot,4500,1200,3300,FALSE
20230103-0113,2023-01-03,17:42,1,Tue,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230103-0114,2023-01-03,17:39,1,Tue,Sunny,Beverage,Ade,Ice,6000,3000,3000,FALSE
20230103-0115,2023-01-03,18:27,1,Tue,Sunny,Beverage,Ade,Ice,6000,3000,3000,FALSE
20230103-0116,2023-01-03,18:28,1,Tue,Sunny,Tea,HerbTea,Hot,5000,470,4530,FALSE
20230103-0117,2023-01-03,21:55,1,Tue,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230103-0118,2023-01-03,20:17,1,Tue,Sunny,Coffee,Americano,Ice,3800,750,3050,FALSE
20230103-0119,2023-01-03,14:28,1,Tue,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230103-0120,2023-01-03,15:57,1,Tue,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230103-0121,2023-01-03,21:09,1,Tue,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230103-0122,2023-01-03,18:29,1,Tue,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230103-0123,2023-01-03,19:44,1,Tue,Sunny,Coffee,Latte,Hot,4500,1200,3300,FALSE
20230103-0124,2023-01-03,17:00,1,Tue,Sunny,Tea,HerbTea,Hot,5000,470,4530,FALSE
20230103-0125,2023-01-03,14:48,1,Tue,Sunny,Coffee,Latte,Ice,4500,1150,3350,FALSE
20230103-0126,2023-01-03,18:47,1,Tue,Sunny,Coffee,Latte,Ice,4500,1150,3350,FALSE
20230103-0127,2023-01-03,17:14,1,Tue,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230103-0128,2023-01-03,20:43,1,Tue,Sunny,Coffee,Latte,Ice,4500,1150,3350,FALSE
20230103-0129,2023-01-03,12:39,1,Tue,Sunny,Coffee,Filter,Hot,5500,1310,4190,FALSE
20230103-0130,2023-01-03,20:01,1,Tue,Sunny,Coffee,Americano,Ice,3800,750,3050,FALSE
20230103-0131,2023-01-03,12:03,1,Tue,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230103-0132,2023-01-03,15:48,1,Tue,Sunny,Beverage,Ade,Ice,6000,3000,3000,FALSE
20230103-0133,2023-01-03,14:48,1,Tue,Sunny,Baked,Financier,Hot,3000,800,2200,FALSE
20230103-0134,2023-01-03,11:30,1,Tue,Sunny,Coffee,Americano,Ice,3800,750,3050,FALSE
20230103-0135,2023-01-03,15:14,1,Tue,Sunny,Coffee,Latte,Ice,4500,1150,3350,FALSE
20230103-0136,2023-01-03,10:15,1,Tue,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230103-0137,2023-01-03,12:30,1,Tue,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230103-0138,2023-01-03,21:16,1,Tue,Sunny,Coffee,Americano,Ice,3800,750,3050,FALSE
20230103-0139,2023-01-03,21:45,1,Tue,Sunny,Coffee,Latte,Ice,4500,1150,3350,FALSE
20230103-0140,2023-01-03,11:37,1,Tue,Sunny,Coffee,Americano,Ice,3800,750,3050,FALSE
20230103-0141,2023-01-03,16:25,1,Tue,Sunny,Tea,HerbTea,Hot,5000,470,4530,FALSE
20230103-0142,2023-01-03,13:04,1,Tue,Sunny,Coffee,Latte,Hot,4500,1200,3300,FALSE
20230103-0143,2023-01-03,21:49,1,Tue,Sunny,Coffee,Americano,Ice,3800,750,3050,FALSE
20230103-0144,2023-01-03,19:50,1,Tue,Sunny,Coffee,Americano,Ice,3800,750,3050,FALSE
20230103-0145,2023-01-03,11:32,1,Tue,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230103-0146,2023-01-03,17:06,1,Tue,Sunny,Coffee,Americano,Ice,3800,750,3050,FALSE
20230103-0147,2023-01-03,17:45,1,Tue,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230103-0148,2023-01-03,20:17,1,Tue,Sunny,Coffee,Filter,Ice,5500,1950,3550,FALSE
20230103-0149,2023-01-03,17:27,1,Tue,Sunny,Beverage,Ade,Ice,6000,3000,3000,FALSE
20230103-0150,2023-01-03,19:17,1,Tue,Sunny,Coffee,Americano,Ice,3800,750,3050,FALSE
20230103-0151,2023-01-03,14:56,1,Tue,Sunny,Coffee,Latte,Hot,4500,1200,3300,FALSE
20230103-0152,2023-01-03,20:24,1,Tue,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230103-0153,2023-01-03,17:13,1,Tue,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230103-0154,2023-01-03,19:44,1,Tue,Sunny,Tea,HerbTea,Hot,5000,470,4530,FALSE
20230104-0155,2023-01-04,18:12,1,Wed,Sunny,Coffee,Latte,Hot,4500,1200,3300,FALSE
20230104-0156,2023-01-04,13:44,1,Wed,Sunny,Coffee,Latte,Hot,4500,1200,3300,FALSE
20230104-0157,2023-01-04,10:05,1,Wed,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230104-0158,2023-01-04,20:37,1,Wed,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230104-0159,2023-01-04,21:35,1,Wed,Sunny,Coffee,Latte,Hot,4500,1200,3300,FALSE
20230104-0160,2023-01-04,14:14,1,Wed,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230104-0161,2023-01-04,18:48,1,Wed,Sunny,Coffee,Americano,Ice,3800,750,3050,FALSE
20230104-0162,2023-01-04,14:46,1,Wed,Sunny,Coffee,Latte,Hot,4500,1200,3300,FALSE
20230104-0163,2023-01-04,11:53,1,Wed,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230104-0164,2023-01-04,10:45,1,Wed,Sunny,Coffee,Americano,Ice,3800,750,3050,FALSE
20230104-0165,2023-01-04,18:18,1,Wed,Sunny,Coffee,Americano,Ice,3800,750,3050,FALSE
20230104-0166,2023-01-04,17:06,1,Wed,Sunny,Beverage,Ade,Ice,6000,3000,3000,FALSE
20230104-0167,2023-01-04,19:18,1,Wed,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230104-0168,2023-01-04,10:16,1,Wed,Sunny,Tea,HerbTea,Hot,5000,470,4530,FALSE
20230104-0169,2023-01-04,17:07,1,Wed,Sunny,Beverage,Ade,Ice,6000,3000,3000,FALSE
20230104-0170,2023-01-04,16:31,1,Wed,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230104-0171,2023-01-04,12:51,1,Wed,Sunny,Coffee,Americano,Ice,3800,750,3050,FALSE
20230104-0172,2023-01-04,11:35,1,Wed,Sunny,Coffee,Americano,Ice,3800,750,3050,FALSE
20230104-0173,2023-01-04,13:49,1,Wed,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230104-0174,2023-01-04,19:27,1,Wed,Sunny,Coffee,Americano,Ice,3800,750,3050,FALSE
20230104-0175,2023-01-04,21:06,1,Wed,Sunny,Tea,HerbTea,Hot,5000,470,4530,FALSE
20230104-0176,2023-01-04,13:40,1,Wed,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230104-0177,2023-01-04,12:35,1,Wed,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230104-0178,2023-01-04,19:30,1,Wed,Sunny,Coffee,Americano,Ice,3800,750,3050,FALSE
20230104-0179,2023-01-04,21:55,1,Wed,Sunny,Coffee,Americano,Ice,3800,750,3050,FALSE
20230104-0180,2023-01-04,20:37,1,Wed,Sunny,Coffee,Filter,Hot,5500,1310,4190,FALSE
20230104-0181,2023-01-04,18:14,1,Wed,Sunny,Coffee,Filter,Ice,5500,1950,3550,FALSE
20230104-0182,2023-01-04,11:03,1,Wed,Sunny,Coffee,Americano,Ice,3800,750,3050,FALSE
20230104-0183,2023-01-04,19:58,1,Wed,Sunny,Coffee,Americano,Ice,3800,750,3050,FALSE
20230104-0184,2023-01-04,21:25,1,Wed,Sunny,Tea,HerbTea,Hot,5000,470,4530,FALSE
20230104-0185,2023-01-04,18:34,1,Wed,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230104-0186,2023-01-04,16:47,1,Wed,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230104-0187,2023-01-04,20:53,1,Wed,Sunny,Beverage,Ade,Ice,6000,3000,3000,FALSE
20230104-0188,2023-01-04,19:01,1,Wed,Sunny,Baked,Scone,Hot,3800,900,2900,FALSE
20230104-0189,2023-01-04,14:36,1,Wed,Sunny,Coffee,Latte,Hot,4500,1200,3300,FALSE
20230104-0190,2023-01-04,20:28,1,Wed,Sunny,Tea,HerbTea,Hot,5000,470,4530,FALSE
20230104-0191,2023-01-04,12:37,1,Wed,Sunny,Coffee,Latte,Ice,4500,1150,3350,FALSE
20230104-0192,2023-01-04,17:22,1,Wed,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230104-0193,2023-01-04,12:21,1,Wed,Sunny,Coffee,Americano,Ice,3800,750,3050,FALSE
20230104-0194,2023-01-04,16:52,1,Wed,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230104-0195,2023-01-04,14:20,1,Wed,Sunny,Coffee,Latte,Ice,4500,1150,3350,FALSE
20230104-0196,2023-01-04,10:42,1,Wed,Sunny,Beverage,Ade,Ice,6000,3000,3000,FALSE
20230104-0197,2023-01-04,17:26,1,Wed,Sunny,Coffee,Americano,Ice,3800,750,3050,FALSE
20230104-0198,2023-01-04,17:40,1,Wed,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230104-0199,2023-01-04,12:59,1,Wed,Sunny,Coffee,Latte,Hot,4500,1200,3300,FALSE
20230104-0200,2023-01-04,10:40,1,Wed,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230104-0201,2023-01-04,18:00,1,Wed,Sunny,Coffee,Americano,Ice,3800,750,3050,FALSE
20230104-0202,2023-01-04,11:29,1,Wed,Sunny,Tea,HerbTea,Hot,5000,470,4530,FALSE
20230104-0203,2023-01-04,20:53,1,Wed,Sunny,Coffee,Filter,Hot,5500,1310,4190,FALSE
20230104-0204,2023-01-04,21:17,1,Wed,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230104-0205,2023-01-04,17:35,1,Wed,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230104-0206,2023-01-04,21:56,1,Wed,Sunny,Coffee,Americano,Ice,3800,750,3050,FALSE
20230104-0207,2023-01-04,16:21,1,Wed,Sunny,Tea,HerbTea,Hot,5000,470,4530,FALSE
20230104-0208,2023-01-04,18:17,1,Wed,Sunny,Beverage,Ade,Ice,6000,3000,3000,FALSE
20230104-0209,2023-01-04,14:46,1,Wed,Sunny,Coffee,Americano,Ice,3800,750,3050,FALSE
20230104-0210,2023-01-04,17:55,1,Wed,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230104-0211,2023-01-04,18:48,1,Wed,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230105-0212,2023-01-05,21:15,1,Thu,Sunny,Coffee,Americano,Ice,3800,750,3050,FALSE
20230105-0213,2023-01-05,10:20,1,Thu,Sunny,Coffee,Latte,Ice,4500,1150,3350,FALSE
20230105-0214,2023-01-05,16:42,1,Thu,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230105-0215,2023-01-05,10:08,1,Thu,Sunny,Coffee,Americano,Ice,3800,750,3050,FALSE
20230105-0216,2023-01-05,17:06,1,Thu,Sunny,Coffee,Americano,Ice,3800,750,3050,FALSE
20230105-0217,2023-01-05,16:55,1,Thu,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230105-0218,2023-01-05,14:21,1,Thu,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230105-0219,2023-01-05,15:54,1,Thu,Sunny,Coffee,Americano,Ice,3800,750,3050,FALSE
20230105-0220,2023-01-05,20:45,1,Thu,Sunny,Tea,HerbTea,Hot,5000,470,4530,FALSE
20230105-0221,2023-01-05,17:55,1,Thu,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230105-0222,2023-01-05,20:58,1,Thu,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230105-0223,2023-01-05,11:48,1,Thu,Sunny,Coffee,Latte,Hot,4500,1200,3300,FALSE
20230105-0224,2023-01-05,21:19,1,Thu,Sunny,Tea,HerbTea,Hot,5000,470,4530,FALSE
20230105-0225,2023-01-05,10:20,1,Thu,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230105-0226,2023-01-05,12:15,1,Thu,Sunny,Coffee,Americano,Ice,3800,750,3050,FALSE
20230105-0227,2023-01-05,12:11,1,Thu,Sunny,Coffee,Latte,Ice,4500,1150,3350,FALSE
20230105-0228,2023-01-05,13:31,1,Thu,Sunny,Tea,HerbTea,Hot,5000,470,4530,FALSE
20230105-0229,2023-01-05,12:14,1,Thu,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230105-0230,2023-01-05,10:57,1,Thu,Sunny,Beverage,Ade,Ice,6000,3000,3000,FALSE
20230105-0231,2023-01-05,14:43,1,Thu,Sunny,Coffee,Americano,Ice,3800,750,3050,FALSE
20230105-0232,2023-01-05,19:19,1,Thu,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230105-0233,2023-01-05,14:12,1,Thu,Sunny,Baked,Scone,Hot,3800,900,2900,FALSE
20230105-0234,2023-01-05,11:15,1,Thu,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230105-0235,2023-01-05,21:18,1,Thu,Sunny,Coffee,Latte,Hot,4500,1200,3300,FALSE
20230105-0236,2023-01-05,10:36,1,Thu,Sunny,Beverage,Ade,Ice,6000,3000,3000,FALSE
20230105-0237,2023-01-05,21:03,1,Thu,Sunny,Tea,HerbTea,Hot,5000,470,4530,FALSE
20230105-0238,2023-01-05,21:31,1,Thu,Sunny,Beverage,Ade,Ice,6000,3000,3000,FALSE
20230105-0239,2023-01-05,14:49,1,Thu,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230105-0240,2023-01-05,20:12,1,Thu,Sunny,Coffee,Americano,Ice,3800,750,3050,FALSE
20230105-0241,2023-01-05,20:43,1,Thu,Sunny,Beverage,Ade,Ice,6000,3000,3000,FALSE
20230105-0242,2023-01-05,20:06,1,Thu,Sunny,Tea,HerbTea,Hot,5000,470,4530,FALSE
20230105-0243,2023-01-05,20:02,1,Thu,Sunny,Coffee,Americano,Hot,3800,730,3070,FALSE
20230105-0244,2023-01-05,21:08,1,Thu,Sunny,Coffee,Americano,Ice,3800,750,3050,FALSE
20230105-0245,2023-01-05,12:12,1,Thu,Sunny,Coffee,Americano,Ice,3800,750,3050,FALSE
20230105-0246,2023-01-05,18:32,1,Thu,Sunny,Tea,HerbTea,Hot,5000,470,4530,FALSE
20230105-0247,2023-01-05,12:16,1,Thu,Sunny,Tea,HerbTea,Hot,5000,470,4530,FALSE
20230105-0248,2023-01-05,17:51,1,Thu,Sunny,Coffee,Latte,Ice,4500,1150,3350,FALSE
20230105-0249,2023-01-05,17:04,1,Thu,Sunny,Coffee,Filter,Ice,5500,1950,3550,FALSE
20230105-0250,2023-01-05,21:43,1,Thu,Sunny,Baked,Scone,Hot,3800,900,2900,FALSE
